trimId,trim_name
t42874,528i xDrive Sedan
t86045,1500 LT
t73658,LT Cloth
t25019,C 280 4MATIC Luxury
t56794,Coupe
t34542,SLT
t65899,Luxury
t67286,35t Premium
t10207,CE
t86065,SLT
t52685,GLK 350 4MATIC
t53327,S 550 4MATIC
t70069,LT Crew Cab
t50845,xDrive28i
t52142,2.0T Luxury RWD
t67312,xDrive28i
t67434,SLE1
t40327,S 550 4MATIC
t59715,S 550 4MATIC
t46535,740Li xDrive
t79050,1.5T Premier
t56819,LE
t87047,Latitude
t67557,2.0T Luxury
t68987,1.6T Limited
t87983,ST
t46966,Limited
t58172,SLE-2
t73659,Premier
t65911,3.7
t66981,S
t40425,3.0L Luxury RWD
t67394,SH-AWD with Advance Package
t55252,ST
t85078,LX
t68326,Limited
t44468,Laredo
t51334,SE
t70081,Z71 Crew Cab
t74594,LTZ Crew Cab
t39661,LX
t53888,S Sedan
t86347,Z71 Crew Cab
t79136,L
t56725,S
t73075,2.0T quattro Premium Plus
t45357,Touring Elite
t41651,Laredo
t67702,4.0T quattro Premium Plus Sedan
t80273,L
t49118,i Grand Touring
t43703,SL 550
t53334,SL
t80470,LT
t56152,E AMG 63 S-Model 4MATIC Sedan
t57976,SV
t77963,Premiere
t58393,XL
t86051,LT
t42168,Laramie Crew Cab
t40977,SLK 350
t58418,Z71 Crew Cab
t87061,Latitude Plus
t75240,LX
t72939,1.5T Premier
t67668,E 300
t51631,1LT Coupe RWD
t67396,SH-AWD with Technology Package
t31877,Touring
t75014,Elaborazione Abarth
t36529,Sport Crew Cab
t75754,Base
t85070,LX
t67579,2LT Coupe RWD
t56550,King Ranch SuperCrew
t75497,530i xDrive Sedan
t43847,Sport
t54593,xDrive28i
t83900,2.5 Platinum
t44413,RWD
t68161,LS
t70234,Base
t75401,S
t58999,SXT
t87059,Latitude
t44112,Platinum
t67864,LX
t69298,430i xDrive Coupe
t52623,Big Horn Quad Cab
t82290,Touring L
t67285,35t
t35445,SEL
t74956,LX
t75238,EX V6
t74502,2.4L
t69120,LT RWD
t69516,F Sport
t73000,Touring
t75662,L
t53284,Convertible RWD
t78787,Denali Crew Cab
t83893,2.5 SL
t57166,Limited
t59287,2.0T GLI SEL
t59163,2.0T S 2-Door
t80487,SLT
t85069,LXS
t66969,Titanium
t76396,Plus
t60022,SXT RWD
t72796,SX Turbo
t70180,R/T RWD
t58000,1.8T Premium Sedan
t73338,XL RWD
t75397,EX
t86057,SLT
t57983,LX
t44518,ZL1 Coupe RWD
t45476,Sedan
t87050,Limited
t35766,2.5 X Premium
t44495,Base
t43258,2.5X
t56177,SE
t56904,SE Hatchback
t54987,LX
t41249,Limited
t86710,Premium Luxury
t85707,2.0T SEL 4Motion with R-Line
t38662,3.2
t31653,Sports 2.5X
t53262,Premium
t68742,Latitude
t36171,Touring
t33066,LE
t75241,LX
t83511,FE
t69344,1.4T S
t45606,Base
t46967,Premium
t31604,LS
t54989,EX
t67071,Reserve
t35447,Limited
t67842,Denali Crew Cab
t35746,XLT
t36220,LTZ
t27081,2.5T
t33682,XLT V6
t54218,T5 Premier
t38398,2.0T quattro Premium Sedan
t88914,S
